,city,country,Salario_Medio,Continent,sub-region,Alimentacao_Basica,Transp_Publico,Transp_Privado,Moradia_CentroCidade,Moradia_ForaCentroCidade,Final_de_Semana,CV1_1,CV1_2,CV2_1,CV2_2
0,Seoul,South Korea,2689.62,Asia,Eastern Asia,147.88,42.25,868.11,949.4599999999999,764.4399999999999,160.23999999999998,2125.6899999999996,1299.83,1940.6699999999998,1114.81
1,Busan,South Korea,1910.04,Asia,Eastern Asia,114.46,46.09,779.15,589.4200000000001,500.5,146.14000000000001,1629.1700000000003,896.11,1540.2500000000002,807.1899999999999
2,Incheon,South Korea,2047.33,Asia,Eastern Asia,122.14999999999999,40.33,694.19,569.5799999999999,415.93,140.81,1526.73,872.8699999999999,1373.08,719.22
3,Shanghai,China,1419.87,Asia,Eastern Asia,78.63,28.47,601.6,1219.0800000000002,697.03,99.46000000000001,1998.7700000000002,1425.64,1476.72,903.59
4,Guangzhou,China,1211.68,Asia,Eastern Asia,59.36999999999999,28.47,640.75,626.22,410.39,81.30000000000001,1407.64,795.3600000000001,1191.81,579.53
5,Shenzhen,China,1572.22,Asia,Eastern Asia,72.75,35.59,656.96,856.35,552.67,90.16,1676.22,1054.8500000000001,1372.5400000000002,751.17
6,Beijing,China,1562.35,Asia,Eastern Asia,69.62,42.71,720.23,1316.72,790.84,103.02000000000001,2209.59,1532.07,1683.71,1006.19
7,Chengdu,China,802.58,Asia,Eastern Asia,71.68,26.61,636.0,515.42,332.73,81.33000000000001,1304.4299999999998,695.04,1121.74,512.35
8,Wuhan,China,963.86,Asia,Eastern Asia,66.03,42.71,547.42,437.12,264.87,92.67,1143.24,638.53,970.9899999999999,466.28000000000003
9,Tianjin,China,875.36,Asia,Eastern Asia,62.300000000000004,15.78,581.83,499.37,383.11,99.92,1243.42,677.37,1127.16,561.11
10,Zhengzhou,China,586.03,Asia,Eastern Asia,59.540000000000006,6.26,637.5699999999999,394.67,291.46000000000004,65.61,1157.3899999999999,526.08,1054.1799999999998,422.87000000000006
11,Chongqing,China,747.36,Asia,Eastern Asia,60.480000000000004,56.94,636.0,344.15,238.10000000000002,72.82000000000001,1113.45,534.39,1007.4000000000001,428.34000000000003
12,Nanjing,China,1146.18,Asia,Eastern Asia,62.02,15.47,640.35,575.73,367.87,74.42999999999999,1352.53,727.65,1144.67,519.79
13,Shenyang,China,836.83,Asia,Eastern Asia,63.209999999999994,11.39,620.97,380.55999999999995,252.44,63.71,1128.45,518.87,1000.3300000000002,390.74999999999994
14,Xi'an,China,1001.23,Asia,Eastern Asia,55.62,17.08,540.69,362.40999999999997,262.76,69.27,1027.99,504.37999999999994,928.34,404.72999999999996
15,Hangzhou,China,1079.52,Asia,Eastern Asia,79.13,15.66,640.35,580.65,378.35,83.85000000000001,1383.98,759.29,1181.6799999999998,556.99
16,Qingdao,China,977.5,Asia,Eastern Asia,59.89,23.49,520.92,361.85,225.55,72.32000000000001,1014.98,517.5500000000001,878.68,381.25
17,Suzhou,China,925.31,Asia,Eastern Asia,110.58000000000001,42.71,699.6600000000001,882.5799999999999,620.02,146.53000000000003,1839.3500000000001,1182.3999999999999,1576.7900000000002,919.8399999999999
18,Fuzhou,China,781.77,Asia,Eastern Asia,69.36,42.71,552.1700000000001,442.55,266.98,76.4,1140.4800000000002,631.02,964.9100000000001,455.45000000000005
19,Ningbo,China,921.23,Asia,Eastern Asia,76.33,14.24,600.8000000000001,534.71,518.1,75.69,1287.5300000000002,700.97,1270.92,684.3600000000001
20,Mumbai,India,640.81,Asia,Southern Asia,35.11,4.91,395.16,587.86,359.51,104.62,1122.75,732.5,894.4,504.15
21,Delhi,India,586.46,Asia,Southern Asia,34.61,11.67,390.76000000000005,299.98,205.45,94.94999999999999,820.3000000000002,441.21,725.77,346.67999999999995
22,Kolkata,India,532.21,Asia,Southern Asia,32.900000000000006,3.93,394.36,197.18,133.42000000000002,87.32,711.76,321.33000000000004,648.0,257.57000000000005
23,Bangalore,India,969.96,Asia,Southern Asia,35.82000000000001,18.42,460.99,289.27,194.59,97.63,883.7099999999999,441.14,789.03,346.46000000000004
24,Chennai,India,552.68,Asia,Southern Asia,33.9,12.28,393.96000000000004,231.92,158.78,92.14,751.92,370.23999999999995,678.78,297.1
25,Hyderabad,India,531.45,Asia,Southern Asia,35.949999999999996,12.28,396.36,226.10000000000002,163.01,89.64,748.0500000000001,363.97,684.9599999999999,300.88
